Date;Males;Females
1976-Q3;4.26;4.78
1976-Q4;4.64;4.94
1977-Q1;4.89;5.02
1977-Q2;4.70;4.99
1977-Q3;5.08;6.01
1977-Q4;5.46;6.27
1978-Q1;6.13;7.31
1978-Q2;6.29;7.40
1978-Q3;6.53;8.42
1978-Q4;7.09;8.94
1979-Q1;7.70;9.22
1979-Q2;7.80;9.10
1979-Q3;8.16;10.10
1979-Q4;8.92;11.00
1980-Q1;10.10;11.93
1980-Q2;10.61;12.39
1980-Q3;10.68;13.50
1980-Q4;11.59;14.54
1981-Q1;12.69;15.10
1981-Q2;12.95;15.38
1981-Q3;13.23;16.31
1981-Q4;13.82;17.89
1982-Q1;14.56;17.87
1982-Q2;14.23;18.03
1982-Q3;14.66;18.98
1982-Q4;15.22;19.93
1983-Q1;15.87;20.64
1983-Q2;15.57;20.01
1983-Q3;15.78;20.46
1983-Q4;16.58;21.22
1984-Q1;18.44;22.29
1984-Q2;18.45;22.54
1984-Q3;18.46;23.50
1984-Q4;19.56;24.61
1985-Q1;20.13;24.66
1985-Q2;20.09;24.86
1985-Q3;19.55;25.35
1985-Q4;19.71;25.52
1986-Q1;19.97;25.49
1986-Q2;19.26;25.05
1986-Q3;18.60;25.11
1986-Q4;18.38;25.68
1987-Q1;18.60;26.29
1987-Q2;16.55;27.69
1987-Q3;16.07;27.60
1987-Q4;15.65;27.78
1988-Q1;15.73;28.24
1988-Q2;15.28;28.03
1988-Q3;14.61;27.56
1988-Q4;13.79;27.11
1989-Q1;13.76;26.93
1989-Q2;12.94;25.55
1989-Q3;12.02;25.22
1989-Q4;12.60;25.04
1990-Q1;12.38;25.04
1990-Q2;11.89;24.43
1990-Q3;11.38;24.23
1990-Q4;11.74;24.17
1991-Q1;11.91;23.91
1991-Q2;11.80;23.45
1991-Q3;12.04;24.19
1991-Q4;12.65;24.71
1992-Q1;13.11;25.07
1992-Q2;13.48;25.26
1992-Q3;14.22;25.48
1992-Q4;15.91;27.28
1993-Q1;17.72;28.65
1993-Q2;18.40;28.75
1993-Q3;19.02;29.53
1993-Q4;19.80;30.69
1994-Q1;20.51;31.40
1994-Q2;19.81;31.62
1994-Q3;19.16;31.51
1994-Q4;19.01;31.96
1995-Q1;18.52;31.62
1995-Q2;17.87;30.56
1995-Q3;17.76;30.58
1995-Q4;18.03;30.41
1996-Q1;18.32;30.14
1996-Q2;17.58;29.58
1996-Q3;16.87;29.49
1996-Q4;16.94;29.02
1997-Q1;16.76;28.53
1997-Q2;16.11;28.03
1997-Q3;15.28;28.24
1997-Q4;15.18;27.85
1998-Q1;14.67;26.88
1998-Q2;13.66;26.65
1998-Q3;13.09;26.56
1998-Q4;12.86;26.04
1999-Q1;12.18;24.01
1999-Q2;10.71;22.70
1999-Q3;10.33;22.75
1999-Q4;10.53;22.31
2000-Q1;10.34;21.56
2000-Q2;9.45;20.27
2000-Q3;9.16;20.22
2000-Q4;9.29;19.68
2001-Q1;7.92;15.62
2001-Q2;7.35;15.04
2001-Q3;7.29;14.97
2001-Q4;7.62;15.25
2002-Q1;8.36;16.35
2002-Q2;7.86;16.04
2002-Q3;8.33;16.20
2002-Q4;8.65;16.00
2003-Q1;8.76;16.73
2003-Q2;8.27;15.68
2003-Q3;8.39;15.54
2003-Q4;8.58;15.41
2004-Q1;8.68;15.55
2004-Q2;8.33;15.03
2004-Q3;8.20;14.36
2004-Q4;7.83;14.35
2005-Q1;7.84;13.46
2005-Q2;7.41;12.00
2005-Q3;6.56;11.04
2005-Q4;6.73;11.47
2006-Q1;6.86;12.03
2006-Q2;6.38;11.28
2006-Q3;6.05;10.91
2006-Q4;6.12;11.17
2007-Q1;6.34;11.23
2007-Q2;6.15;10.35
2007-Q3;6.25;10.39
2007-Q4;6.89;10.82
2008-Q1;7.90;11.88
2008-Q2;9.06;12.08
2008-Q3;10.29;12.48
2008-Q4;12.96;14.85
2009-Q1;16.85;17.76
2009-Q2;17.56;18.04
2009-Q3;17.62;17.91
2009-Q4;18.56;18.80
2010-Q1;19.80;19.90
2010-Q2;19.56;20.30
2010-Q3;19.12;20.18
2010-Q4;19.80;20.51
2011-Q1;20.60;21.66
2011-Q2;20.42;20.92
2011-Q3;20.90;21.75
2011-Q4;22.26;22.92
2012-Q1;23.96;24.46
2012-Q2;24.43;24.36
2012-Q3;24.54;25.10
2012-Q4;25.40;26.22
2013-Q1;26.66;27.26
2013-Q2;25.50;26.71
2013-Q3;25.19;26.18
2013-Q4;25.04;26.53
2014-Q1;25.37;26.57
2014-Q2;23.70;25.38
2014-Q3;22.53;25.01
2014-Q4;22.80;24.74
2015-Q1;22.74;24.98
